disease,symptom_precaution_0,symptom_precaution_1,symptom_precaution_2,symptom_precaution_3
aids,avoid open cuts,wear ppe if possible,consult doctor,follow up
acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up
allergy,apply calamine,cover area with bandage,not available,use ice to compress itching
arthritis,exercise,use hot and cold therapy,try acupuncture,massage
bronchial asthma,switch to loose cloth,take deep breaths,get away from the trigger,seek help
cervical spondylosis,use a heating pad or cold pack,exercise,take an otc pain reliever,consult a doctor
chicken pox,use neem in bathing,consume neem leaves,take the vaccine,avoid public places
chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy
common cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
covid,cover mouth,social distancing,wear mask,medication
dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
diabetes,have balanced diet,exercise,consult doctor,follow up
dimorphic hemorrhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume aloe vera juice
drug reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
fungal infection,bath twice,use detol or neem in bathing water,keep the infected area dry,use clean cloths
gerd,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
heart attack,call an ambulance,chew aspirin,keep calm,not available
hepatitis a,consult nearest hospital,wash hands through,avoid fatty spicy food,medication
hepatitis b,consult nearest hospital,vaccination,eat healthy,medication
hepatitis c,consult nearest hospital,vaccination,eat healthy,medication
hepatitis d,consult doctor,medication,eat healthy,follow up
hepatitis e,stop alcohol consumption,rest,consult doctor,medication
hypertension,meditation,salt baths,reduce stress,get proper sleep
hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment
hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor
hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep
impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
jaundice,drink plenty of water,consume milk thistle,eat fruits and high fibre food,medication
malaria,consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
migraine,meditation,reduce stress,use polaroid glasses in sun,consult doctor
osteoarthritis,acetaminophen,consult nearest hospital,follow up,salt baths
paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor
paroxysmal positional vertigo,lie down,avoid sudden changes in the body,avoid abrupt head movement,relax
peptic ulcer disease,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
pneumonia,consult doctor,medication,rest,follow up
psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
tuberculosis,cover mouth,consult doctor,medication,rest
typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
varicose veins,lie down flat and raise the leg high,use ointments,use vein compression,don't stand still for long
